Start Time;06/05/2026 09:39:35

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
3,026;-0,005859375;
3,056;-0,005859375;
3,074;-0,005859375;
3,101;-0,005859375;
3,117;-0,005859375;
3,134;-0,005859375;
3,152;-0,005859375;
3,18;-0,005859375;
3,196;-0,005859375;
3,21;-0,005859375;
3,227;-0,005859375;
3,241;-0,005859375;
3,259;-0,005859375;
3,272;-0,005859375;
3,288;-0,005859375;
3,303;-0,005859375;
3,317;-0,005859375;
3,34;-0,005859375;
3,373;-0,005859375;
3,399;-0,005859375;
3,412;-0,005859375;
3,43;-0,005859375;
3,443;-0,005859375;
3,464;-0,005859375;
3,491;-0,005859375;
3,513;-0,005859375;
3,539;-0,005859375;
3,557;-0,005859375;
3,587;-0,005859375;
3,614;-0,005859375;
3,632;-0,005859375;
3,646;-0,005859375;
3,659;-0,005859375;
3,678;-0,005859375;
3,696;-0,005859375;
3,723;-0,005859375;
3,74;-0,005859375;
3,756;-0,005859375;
3,793;-0,005859375;
3,814;-0,005859375;
3,829;-0,005859375;
3,845;-0,005859375;
3,866;-0,005859375;
3,896;-0,005859375;
3,924;-0,005859375;
3,947;-0,005859375;
3,971;-0,005859375;
3,99;-0,005859375;
4,024;-0,005859375;
4,057;-0,005859375;
4,081;-0,005859375;
4,096;-0,005859375;
4,116;-0,005859375;
4,141;-0,005859375;
4,158;-0,005859375;
4,177;-0,005859375;
4,206;-0,005859375;
4,222;-0,005859375;
4,257;-0,005859375;
4,284;-0,005859375;
4,314;-0,005859375;
4,328;-0,005859375;
4,345;-0,005859375;
4,357;-0,005859375;
4,378;-0,005859375;
4,406;-0,005859375;
4,419;-0,005859375;
4,442;-0,005859375;
4,465;-0,005859375;
4,48;-0,005859375;
4,498;-0,005859375;
4,51;-0,005859375;
4,531;-0,005859375;
4,561;-0,005859375;
4,595;-0,005859375;
4,622;-0,005859375;
4,641;-0,005859375;
4,666;-0,005859375;
4,682;-0,005859375;
4,696;-0,005859375;
4,72;-0,005859375;
4,743;-0,005859375;
4,762;-0,005859375;
4,795;-0,005859375;
4,822;-0,005859375;
4,835;-0,005859375;
4,856;-0,005859375;
4,882;-0,005859375;
4,9;-0,005859375;
4,916;-0,005859375;
4,931;-0,005859375;
4,952;-0,005859375;
4,978;-0,005859375;
4,993;-0,005859375;
5,012;-0,005859375;
5,039;-0,005859375;
5,055;-0,005859375;
5,072;-0,005859375;
5,085;-0,005859375;
5,104;-0,005859375;
5,137;-0,005859375;
5,17;-0,005859375;
5,196;-0,005859375;
5,222;-0,005859375;
5,239;-0,005859375;
5,259;-0,005859375;
5,29;-0,005859375;
5,317;-0,005859375;
5,338;-0,005859375;
5,364;-0,005859375;
5,38;-0,005859375;
5,397;-0,005859375;
5,431;-0,005859375;
5,458;-0,005859375;
5,479;-0,005859375;
5,503;-0,005859375;
5,521;-0,005859375;
5,55;-0,005859375;
5,564;-0,005859375;
5,582;-0,005859375;
5,596;-0,005859375;
5,615;-0,005859375;
5,646;-0,005859375;
5,675;-0,005859375;
5,692;-0,005859375;
5,722;-0,005859375;
5,739;-0,005859375;
5,77;-0,005859375;
5,802;-0,005859375;
5,832;-0,005859375;
5,861;-0,005859375;
5,877;-0,005859375;
5,897;-0,005859375;
5,926;-0,005859375;
5,955;-0,005859375;
5,969;-0,005859375;
5,984;-0,005859375;
5,998;-0,005859375;
6,016;-0,005859375;
6,032;-0,005859375;
6,05;-0,005859375;
6,083;-0,005859375;
6,11;-0,005859375;
6,126;-0,005859375;
6,145;-0,005859375;
6,178;-0,005859375;
6,208;-0,005859375;
6,235;-0,005859375;
6,252;-0,005859375;
6,286;-0,005859375;
6,316;-0,005859375;
6,348;-0,005859375;
6,382;-0,005859375;
6,414;-0,005859375;
6,445;-0,005859375;
6,479;-0,005859375;
6,507;-0,005859375;
6,529;-0,005859375;
6,545;-0,005859375;
6,561;-0,005859375;
6,577;-0,005859375;
6,596;-0,005859375;
6,625;-0,005859375;
6,639;-0,005859375;
6,655;-0,005859375;
6,67;-0,005859375;
6,687;-0,005859375;
6,703;-0,005859375;
6,718;-0,005859375;
6,739;-0,005859375;
6,763;-0,005859375;
6,781;-0,005859375;
6,795;-0,005859375;
6,811;-0,005859375;
6,828;-0,005859375;
6,85;-0,005859375;
6,877;-0,005859375;
6,905;-0,005859375;
6,923;-0,005859375;
6,952;-0,005859375;
6,966;-0,005859375;
6,985;-0,005859375;
7,012;-0,005859375;
7,027;-0,005859375;
7,043;-0,005859375;
7,059;-0,005859375;
7,082;-0,005859375;
7,105;-0,005859375;
7,122;-0,005859375;
7,137;-0,005859375;
7,154;-0,005859375;
7,184;-0,005859375;
7,2;-0,005859375;
7,222;-0,005859375;
7,245;-0,005859375;
7,26;-0,005859375;
7,276;-0,005859375;
7,29;-0,005859375;
7,305;-0,005859375;
7,322;-0,005859375;
7,341;-0,005859375;
7,356;-0,005859375;
7,369;-0,005859375;
7,384;-0,005859375;
7,403;-0,005859375;
7,419;-0,005859375;
7,449;-0,005859375;
7,484;-0,005859375;
7,508;-0,005859375;
7,523;-0,005859375;
7,54;-0,005859375;
7,553;-0,005859375;
7,57;-0,005859375;
7,585;-0,005859375;
7,601;-0,005859375;
7,616;-0,005859375;
7,634;-0,005859375;
7,649;-0,005859375;
7,664;-0,005859375;
7,678;-0,005859375;
7,694;-0,005859375;
7,71;-0,005859375;
7,728;-0,005859375;
7,756;-0,005859375;
7,769;-0,005859375;
7,787;-0,005859375;
7,801;-0,005859375;
7,817;-0,005859375;
7,832;-0,005859375;
7,848;-0,005859375;
7,864;-0,005859375;
7,88;-0,005859375;
7,895;-0,005859375;
7,91;-0,005859375;
7,926;-0,005859375;
7,941;-0,005859375;
7,957;-0,005859375;
7,972;-0,005859375;
7,989;-0,005859375;
8,003;-0,005859375;
8,019;-0,005859375;
8,035;-0,005859375;
8,051;-0,005859375;
8,067;-0,005859375;
8,082;-0,005859375;
8,099;-0,005859375;
8,112;-0,005859375;
8,129;-0,005859375;
8,143;-0,005859375;
8,162;-0,005859375;
8,193;-0,005859375;
8,221;-0,005859375;
8,237;-0,005859375;
8,252;-0,005859375;
8,27;-0,005859375;
8,301;-0,005859375;
8,328;-0,005859375;
8,344;-0,005859375;
8,359;-0,005859375;
8,374;-0,005859375;
8,39;-0,005859375;
8,404;-0,005859375;
8,422;-0,005859375;
8,437;-0,005859375;
8,458;-0,005859375;
8,484;-0,005859375;
8,498;-0,005859375;
8,515;-0,005859375;
8,529;-0,005859375;
8,545;-0,005859375;
8,561;-0,005859375;
8,578;-0,005859375;
8,593;-0,005859375;
8,608;-0,005859375;
8,624;-0,005859375;
8,647;-0,005859375;
