Start Time;06/05/2026 09:57:19

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
4,168;0,001953125;
4,19;0,001953125;
4,224;0,001953125;
4,253;0,001953125;
4,282;0,001953125;
4,308;0,001953125;
4,325;0,001953125;
4,36;0,001953125;
4,391;0,001953125;
4,424;0,001953125;
4,453;0,001953125;
4,484;0,001953125;
4,506;0,001953125;
4,522;0,001953125;
4,538;0,001953125;
4,554;0,001953125;
4,572;0,001953125;
4,602;0,001953125;
4,632;0,001953125;
4,647;0,001953125;
4,66;0,001953125;
4,681;0,001953125;
4,709;0,001953125;
4,724;0,001953125;
4,74;0,001953125;
4,756;0,001953125;
4,77;0,001953125;
4,791;0,001953125;
4,818;0,001953125;
4,834;0,001953125;
4,87;0,001953125;
4,894;0,001953125;
4,91;0,001953125;
4,931;0,001953125;
4,957;0,001953125;
4,976;0,001953125;
5,006;0,001953125;
5,025;0,001953125;
5,058;0,001953125;
5,083;0,001953125;
5,098;0,001953125;
5,116;0,001953125;
5,129;0,001953125;
5,144;0,001953125;
5,16;0,001953125;
5,176;0,001953125;
5,192;0,001953125;
5,21;0,001953125;
5,241;0,001953125;
5,253;0,001953125;
5,272;0,001953125;
5,309;0,001953125;
5,341;0,001953125;
5,371;0,001953125;
5,393;0,001953125;
5,409;0,001953125;
5,43;0,001953125;
5,466;0,001953125;
5,493;0,001953125;
5,521;0,001953125;
5,554;0,001953125;
5,59;0,001953125;
5,611;0,001953125;
5,63;0,001953125;
5,667;0,001953125;
5,698;0,001953125;
5,728;0,001953125;
5,759;0,001953125;
5,787;0,001953125;
5,821;0,001953125;
5,842;0,001953125;
5,858;0,001953125;
5,874;0,001953125;
5,889;0,001953125;
5,905;0,001953125;
5,921;0,001953125;
5,937;0,001953125;
5,952;0,001953125;
5,965;0,001953125;
5,986;0,001953125;
6,014;0,001953125;
6,029;0,001953125;
6,046;0,001953125;
6,08;0,001953125;
6,112;0,001953125;
6,14;0,001953125;
6,168;0,001953125;
6,183;0,001953125;
6,202;0,001953125;
6,231;0,001953125;
6,246;0,001953125;
6,262;0,001953125;
6,276;0,001953125;
6,291;0,001953125;
6,306;0,001953125;
6,325;0,001953125;
6,343;0,001953125;
6,371;0,001953125;
6,386;0,001953125;
6,403;0,001953125;
6,43;0,001953125;
6,449;0,001953125;
6,465;-0,001953125;
6,481;0;
6,495;0,001953125;
6,513;0,001953125;
6,528;0,001953125;
6,541;0,001953125;
6,56;0,001953125;
6,591;0,001953125;
6,62;0,001953125;
6,638;-0,005859375;
6,666;0;
6,681;0,001953125;
6,696;0,001953125;
6,715;0,001953125;
6,743;0,001953125;
6,764;0,001953125;
6,792;0,001953125;
6,81;0,001953125;
6,838;0,001953125;
6,854;0,001953125;
6,87;0,001953125;
6,889;0,001953125;
6,919;0,001953125;
6,949;0,001953125;
6,977;0,001953125;
6,996;0,001953125;
7,024;0,001953125;
7,04;0,001953125;
7,057;0,001953125;
7,072;0,001953125;
7,087;0,001953125;
7,1;0,001953125;
7,12;0,001953125;
7,151;0,001953125;
7,176;0,001953125;
7,193;0,001953125;
7,208;0,001953125;
7,222;0,001953125;
7,238;0,001953125;
7,258;0,001953125;
7,286;0,001953125;
7,301;0,001953125;
7,321;0,001953125;
7,351;0,001953125;
7,38;-0,001953125;
7,394;0,001953125;
7,412;0,001953125;
7,426;-0,001953125;
7,443;0,001953125;
7,458;0,001953125;
7,473;0,001953125;
7,49;0,001953125;
7,506;0,001953125;
7,524;0,001953125;
7,552;0,001953125;
7,567;0;
7,582;0,001953125;
7,596;0,001953125;
7,613;0,001953125;
7,628;0,001953125;
7,648;0,001953125;
7,678;0,001953125;
7,707;0,001953125;
7,728;0,001953125;
7,752;0,001953125;
7,769;0,001953125;
7,784;0,001953125;
7,803;-0,00390625;
7,83;0,001953125;
7,847;0,001953125;
7,863;0,001953125;
7,88;0,001953125;
7,909;0,001953125;
7,926;0,001953125;
7,938;0,001953125;
7,956;0,001953125;
7,969;0,001953125;
7,984;0,001953125;
8,005;0,001953125;
8,033;0;
8,048;0;
8,062;0,001953125;
8,078;0,001953125;
8,095;0,001953125;
8,112;0;
8,13;0,001953125;
8,158;0,001953125;
8,175;0,001953125;
8,193;-0,001953125;
8,22;0,001953125;
8,237;0,001953125;
8,253;0,001953125;
8,269;0,001953125;
8,283;0,001953125;
8,304;0,001953125;
8,332;0,001953125;
8,361;0,001953125;
8,375;0,001953125;
8,398;0,001953125;
8,425;0,001953125;
8,448;0,001953125;
8,48;0,001953125;
8,507;0,001953125;
8,537;0,001953125;
8,571;0,001953125;
8,604;0,001953125;
8,632;0,001953125;
8,663;0,001953125;
8,696;0,001953125;
8,716;0,001953125;
8,734;0;
8,753;0,001953125;
8,786;0,001953125;
8,816;0,001953125;
8,842;0,001953125;
8,858;0,001953125;
8,877;0,001953125;
8,91;0,001953125;
8,944;0,001953125;
8,975;0,001953125;
9,002;0,001953125;
9,034;0,001953125;
9,06;0,001953125;
9,079;0,001953125;
9,094;0,001953125;
9,116;0,001953125;
9,14;0,001953125;
9,164;0,001953125;
9,195;0,001953125;
9,225;0,001953125;
9,255;0,001953125;
9,28;0,001953125;
9,304;0,001953125;
9,338;0,001953125;
9,358;0,001953125;
9,374;0,001953125;
9,389;-0,00390625;
9,405;-0,005859375;
9,423;-0,001953125;
9,44;0;
9,455;0,001953125;
