Start Time;08/05/2026 15:09:27

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
1,303;0,001953125;
1,316;0,001953125;
1,336;0,001953125;
1,363;0,001953125;
1,381;0,001953125;
1,414;0,001953125;
1,442;0,001953125;
1,455;0,001953125;
1,474;0,001953125;
1,501;0,001953125;
1,524;0,001953125;
1,552;0,001953125;
1,565;0,001953125;
1,58;0,001953125;
1,596;0,001953125;
1,61;0,001953125;
1,626;0,001953125;
1,643;0,001953125;
1,658;0,001953125;
1,674;0,001953125;
1,689;0,001953125;
1,705;0,001953125;
1,723;0,001953125;
1,755;0,001953125;
1,784;0,001953125;
1,798;0,001953125;
1,816;0,001953125;
1,828;0,001953125;
1,852;0,001953125;
1,88;0,001953125;
1,914;0,001953125;
1,938;0,001953125;
1,954;0,001953125;
1,967;0,001953125;
1,986;0,001953125;
1,998;0,001953125;
2,016;0,001953125;
2,03;0,001953125;
2,045;-0,001953125;
2,062;0,001953125;
2,082;0,001953125;
2,107;0,001953125;
2,125;0,001953125;
2,138;0,001953125;
2,152;0,001953125;
2,169;0,001953125;
2,185;-0,001953125;
2,2;0,001953125;
2,216;0,001953125;
2,23;0,001953125;
2,25;0,001953125;
2,277;0,001953125;
2,296;0,001953125;
2,33;0,001953125;
2,355;0,001953125;
2,374;0,001953125;
2,399;0,001953125;
2,419;0,001953125;
2,449;0,001953125;
2,462;0,001953125;
2,481;0,001953125;
2,51;0,001953125;
2,528;0,001953125;
2,561;0,001953125;
2,587;0,001953125;
2,602;0;
2,615;0,001953125;
2,641;0,001953125;
2,665;0,001953125;
2,681;0,001953125;
2,715;0,001953125;
2,742;0,001953125;
2,758;0,001953125;
2,771;0,001953125;
2,794;0,001953125;
2,819;0,001953125;
2,835;0,001953125;
2,856;0,001953125;
2,885;0,001953125;
2,913;0,001953125;
2,929;0,001953125;
2,946;0,001953125;
2,976;0,001953125;
2,993;0,001953125;
3,022;0,001953125;
3,037;0,001953125;
3,05;0,001953125;
3,066;0,001953125;
3,08;0,001953125;
3,097;0,001953125;
3,114;0,001953125;
3,127;0;
3,143;0,001953125;
3,16;0,001953125;
3,183;0,001953125;
3,209;0,001953125;
3,239;0,001953125;
3,256;0,001953125;
3,282;0,001953125;
3,299;0,001953125;
3,313;0,001953125;
3,328;0,001953125;
3,344;0,001953125;
3,364;0,001953125;
3,394;0,001953125;
3,407;0,001953125;
3,421;0,001953125;
3,44;0,001953125;
3,455;0,001953125;
3,471;0,001953125;
3,49;0,001953125;
3,523;0,001953125;
3,546;0,001953125;
3,562;0,001953125;
3,578;0,001953125;
3,594;-0,001953125;
3,61;0,001953125;
3,623;0,001953125;
3,639;0,001953125;
3,655;0,001953125;
3,669;0,001953125;
3,689;0,001953125;
3,718;0,001953125;
3,733;0,001953125;
3,749;0,001953125;
3,763;0,001953125;
3,777;0,001953125;
3,793;0,001953125;
3,807;0,001953125;
3,823;0,001953125;
3,84;0,001953125;
3,855;0,001953125;
3,87;-0,001953125;
3,886;0,001953125;
3,902;0,001953125;
3,918;-0,001953125;
3,949;0,001953125;
3,977;0,001953125;
3,994;-0,001953125;
4,007;0,001953125;
4,026;0,001953125;
4,054;-0,001953125;
4,07;0,001953125;
4,088;0,001953125;
4,102;0,001953125;
4,119;-0,001953125;
4,135;0;
4,148;-0,005859375;
4,166;0;
4,181;0,001953125;
4,196;0,001953125;
4,211;0,001953125;
4,228;0,001953125;
4,242;0,001953125;
4,257;0,001953125;
4,272;0;
4,286;0,001953125;
4,311;-0,001953125;
4,331;0,001953125;
4,351;0,001953125;
4,38;-0,00390625;
4,399;0;
4,429;0,001953125;
4,458;-0,001953125;
4,472;0,001953125;
4,486;-0,00390625;
4,511;-0,005859375;
4,535;-0,001953125;
4,549;0,001953125;
4,564;-0,00390625;
4,583;0,001953125;
4,61;-0,001953125;
4,625;-0,00390625;
4,645;-0,005859375;
4,672;-0,00390625;
4,691;-0,00390625;
4,724;0,001953125;
4,749;0,001953125;
4,765;0,001953125;
4,785;0;
4,814;0,001953125;
4,828;0,001953125;
4,847;0,001953125;
4,874;0;
4,892;0,001953125;
4,921;0,001953125;
4,936;0,001953125;
4,951;0,001953125;
4,967;0,001953125;
4,985;0,001953125;
5,016;0,001953125;
5,048;0,001953125;
5,074;0,001953125;
5,097;0,001953125;
5,122;0,001953125;
5,138;0,001953125;
5,153;0,001953125;
5,167;0,001953125;
5,182;-0,001953125;
5,199;0,001953125;
5,216;0,001953125;
5,23;0,001953125;
5,248;0;
5,26;0;
5,282;-0,00390625;
5,311;0,001953125;
5,339;-0,001953125;
5,355;0,001953125;
5,372;0,001953125;
5,384;0,001953125;
5,402;0,001953125;
5,417;0,001953125;
5,435;0,001953125;
5,451;0,001953125;
5,464;-0,001953125;
5,48;0,001953125;
5,493;-0,001953125;
5,52;0,001953125;
5,542;0,001953125;
5,559;0,001953125;
5,576;0,001953125;
5,607;0,001953125;
5,621;0,001953125;
5,638;0;
5,654;0,001953125;
5,667;0,001953125;
5,686;0,001953125;
5,713;0;
5,727;0,001953125;
5,749;0,001953125;
5,78;0,001953125;
5,806;0,001953125;
5,823;0,001953125;
5,844;0,001953125;
5,868;0,001953125;
5,883;-0,001953125;
5,898;0,001953125;
5,914;-0,00390625;
5,931;0,001953125;
5,946;0,001953125;
5,959;0,001953125;
5,976;0,001953125;
5,99;0,001953125;
6,006;0,001953125;
6,022;0,001953125;
6,036;0,001953125;
6,056;0,001953125;
6,086;0,001953125;
6,115;0,001953125;
6,131;0,001953125;
6,153;0,001953125;
6,179;0,001953125;
6,192;0,001953125;
6,211;0,001953125;
6,239;0,001953125;
6,257;0,001953125;
6,288;0,001953125;
6,316;0,001953125;
6,33;0,001953125;
6,344;0,001953125;
6,362;0,001953125;
6,377;0,001953125;
6,393;0,001953125;
6,408;0,001953125;
6,423;0,001953125;
6,441;0,001953125;
6,457;0,001953125;
6,471;0,001953125;
6,487;0,001953125;
6,5;0,001953125;
6,517;0,001953125;
6,535;0,001953125;
6,565;0,001953125;
6,595;0,001953125;
6,608;0,001953125;
6,622;0,001953125;
6,641;0,001953125;
6,655;0,001953125;
6,67;0,001953125;
6,687;0,001953125;
6,706;0,001953125;
6,73;0,001953125;
6,748;0,001953125;
6,762;0,001953125;
6,784;0,001953125;
6,812;0,001953125;
6,826;0,001953125;
6,844;0,001953125;
6,857;0,001953125;
6,872;0,001953125;
6,89;0,001953125;
6,904;0,001953125;
6,918;0,001953125;
6,935;0,001953125;
6,952;0,001953125;
6,985;0,001953125;
7,012;0,001953125;
7,028;0,001953125;
7,041;0,001953125;
7,059;0,001953125;
7,074;0,001953125;
7,089;0,001953125;
7,105;0,001953125;
7,121;0,001953125;
7,135;0,001953125;
7,154;0,001953125;
7,171;0,001953125;
7,201;0,001953125;
7,215;0,001953125;
7,231;0,001953125;
7,246;0,001953125;
7,261;0,001953125;
7,278;0,001953125;
7,293;0,001953125;
7,308;0,001953125;
7,322;0,001953125;
7,346;0,001953125;
7,368;0;
7,388;0,001953125;
7,416;0,001953125;
7,435;0,001953125;
7,463;0,001953125;
7,483;0,001953125;
7,508;0,001953125;
7,525;0,001953125;
7,54;0,001953125;
7,558;0,001953125;
7,571;0,001953125;
7,59;0,001953125;
7,621;0,001953125;
7,649;0,001953125;
7,665;0,001953125;
7,683;0,001953125;
7,71;0,001953125;
7,727;0,001953125;
7,74;0,001953125;
7,761;0,001953125;
7,788;0,001953125;
7,803;0,001953125;
7,82;0,001953125;
7,836;0,001953125;
7,849;0,001953125;
7,867;0,001953125;
7,883;0,001953125;
7,896;0,001953125;
7,915;0,001953125;
7,931;0,001953125;
7,948;0,001953125;
7,975;0,001953125;
7,99;0,001953125;
8,006;0,001953125;
8,025;0,001953125;
8,052;0,001953125;
8,067;0,001953125;
8,086;0,001953125;
8,099;0,001953125;
8,116;0,001953125;
8,133;0,001953125;
